School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
SHILOH HIGH SCHOOL,Georgia,Shiloh High School,Gwinnett County,30039,1-Regular school,2-No,33.823600,-84.069700,High,9th Grade,12th Grade,2200,1450,550,188,1638,†,2200,†,†,1208,992,5,82,568,1396,77,2,70,2200,16.07
SHILOH MIDDLE SCHOOL,Georgia,Shiloh Middle School,Gwinnett County,30039,1-Regular school,2-No,33.825800,-84.072500,Middle,6th Grade,8th Grade,1571,1180,505,119,1299,1571,†,†,†,789,782,2,56,446,928,69,2,68,1571,13.27
SHILOH POINT ELEMENTARY,Georgia,Shiloh Point Elementary,Forsyth County,30041,1-Regular school,2-No,34.143500,-84.176100,Elementary,Prekindergarten,5th Grade,1069,114,19,17,131,919,†,21,129,551,518,10,659,98,31,236,0,35,1069,14.91
SHIRLEY HILLS ELEMENTARY SCHOOL,Georgia,Shirley Hills Elementary School,Houston County,31088,1-Regular school,2-No,32.603100,-83.651000,Elementary,Prekindergarten,5th Grade,547,403,187,0,403,390,†,64,93,287,260,1,2,46,293,158,1,46,547,14.03
SHIVER ELEMENTARY SCHOOL,Georgia,Shiver Elementary School,Grady County,31779,1-Regular school,2-No,31.003607,-84.205243,Elementary,Prekindergarten,8th Grade,472,285,109,0,285,403,†,22,47,257,215,2,4,80,35,334,0,17,472,11.32
SHOAL CREEK ELEMENTARY SCHOOL,Georgia,Shoal Creek Elementary School,Rockdale County,30094,1-Regular school,2-No,33.655500,-84.062000,Elementary,Prekindergarten,5th Grade,644,467,252,55,522,527,†,33,84,338,306,4,9,79,468,51,0,33,644,13.42
SHUMAN ELEMENTARY SCHOOL,Georgia,Shuman Elementary School,Chatham County,31404,1-Regular school,2-No,32.061500,-81.067400,Elementary,1st Grade,5th Grade,482,389,275,21,410,482,†,†,†,255,227,2,6,65,378,17,2,12,482,12.36
SILVER CITY ELEMENTARY SCHOOL,Georgia,Silver City Elementary School,Forsyth County,30028,1-Regular school,2-No,34.328200,-84.102900,Elementary,Prekindergarten,5th Grade,1135,263,55,55,318,934,†,33,168,580,555,7,117,143,65,759,1,43,1135,15.03
SIMONTON ELEMENTARY SCHOOL,Georgia,Simonton Elementary School,Gwinnett County,30045,1-Regular school,2-No,33.936900,-83.956900,Elementary,Prekindergarten,5th Grade,726,545,169,65,610,580,†,31,115,367,359,2,35,316,287,62,1,23,726,14.70
SIMPSON ELEMENTARY SCHOOL,Georgia,Simpson Elementary School,Gwinnett County,30092,1-Regular school,2-No,33.998473,-84.229275,Elementary,Prekindergarten,5th Grade,926,151,44,24,175,744,†,30,152,490,436,2,87,92,126,565,0,54,926,12.35
SIMPSON MIDDLE SCHOOL,Georgia,Simpson Middle School,Cobb County,30066,1-Regular school,2-No,34.032900,-84.477700,Middle,6th Grade,8th Grade,884,163,30,41,204,884,†,†,†,485,399,0,111,122,112,491,2,46,884,15.76
SIMS ELEMENTARY SCHOOL,Georgia,Sims Elementary School,Rockdale County,30094,1-Regular school,2-No,33.622200,-84.048800,Elementary,Prekindergarten,5th Grade,466,382,211,37,419,384,†,25,57,248,218,2,5,80,325,22,0,32,466,10.36
SIXES ELEMENTARY SCHOOL,Georgia,Sixes Elementary School,Cherokee County,30114,1-Regular school,2-No,34.172800,-84.554200,Elementary,Prekindergarten,5th Grade,734,123,87,32,155,592,†,15,127,403,331,2,17,105,21,540,1,48,734,14.20
SKYVIEW ELEMENTARY SCHOOL,Georgia,Skyview Elementary School,Bibb County,31052,1-Regular school,2-No,32.751100,-83.757600,Elementary,Prekindergarten,5th Grade,435,188,148,0,188,323,†,48,64,228,207,0,1,37,172,194,0,31,435,13.90
SKYVIEW HIGH SCHOOL,GEORGIA,Skyview High School,Fulton County,30349,1-Regular school,1-Yes,33.615157,-84.470425,High,9th Grade,12th Grade,305,230,115,0,230,†,305,†,†,153,152,0,0,33,268,0,0,4,305,24.40
SLAM ACADEMY OF ATLANTA,GEORGIA,SLAM Academy of Atlanta,Fulton County,30331,1-Regular school,1-Yes,33.689241,-84.496613,Elementary,Kindergarten,8th Grade,192,122,141,0,122,157,†,†,35,113,79,0,0,6,183,0,0,3,192,15.87
SMILEY ELEMENTARY SCHOOL,Georgia,Smiley Elementary School,Long County,31316,1-Regular school,2-No,31.694648,-81.730488,Elementary,Prekindergarten,2nd Grade,1286,773,312,173,946,725,†,235,326,685,601,4,2,254,311,581,8,126,1286,19.63
SMITH-BARNES ELEMENTARY SCHOOL,Georgia,Smith-Barnes Elementary School,Henry County,30281,1-Regular school,2-No,33.537500,-84.236300,Elementary,4th Grade,5th Grade,245,201,111,20,221,245,†,†,†,122,123,0,14,65,144,10,2,10,245,13.92
SMITHA MIDDLE SCHOOL,Georgia,Smitha Middle School,Cobb County,30064,1-Regular school,2-No,33.888200,-84.612000,Middle,6th Grade,8th Grade,868,678,194,101,779,868,†,†,†,443,425,3,20,537,232,45,3,28,868,13.73
SMOKE RISE ELEMENTARY SCHOOL,Georgia,Smoke Rise Elementary School,DeKalb County,30087,1-Regular school,2-No,33.850946,-84.193128,Elementary,Prekindergarten,5th Grade,536,361,118,44,405,415,†,42,79,256,280,1,22,187,239,57,0,30,536,13.30
SMOKEY ROAD MIDDLE SCHOOL,Georgia,Smokey Road Middle School,Coweta County,30263,1-Regular school,2-No,33.362100,-84.845500,Middle,6th Grade,8th Grade,550,357,201,40,397,550,†,†,†,269,281,3,1,72,192,249,0,33,550,13.41
SMYRNA ELEMENTARY SCHOOL,Georgia,Smyrna Elementary School,Cobb County,30080,1-Regular school,2-No,33.890858,-84.521763,Elementary,Prekindergarten,5th Grade,876,495,206,57,552,731,†,22,123,453,423,4,23,264,325,202,0,58,876,11.85
SNAPFINGER ELEMENTARY SCHOOL,Georgia,Snapfinger Elementary School,DeKalb County,30032,1-Regular school,2-No,33.732000,-84.247100,Elementary,Prekindergarten,5th Grade,429,429,240,0,429,329,†,39,61,201,228,0,4,29,387,1,1,7,429,14.49
SNELLVILLE MIDDLE SCHOOL,Georgia,Snellville Middle School,Gwinnett County,30078,1-Regular school,2-No,33.834100,-84.003100,Middle,6th Grade,8th Grade,876,624,267,82,706,876,†,†,†,444,432,1,25,212,573,38,1,26,876,14.13
SNELSON-GOLDEN MIDDLE SCHOOL,Georgia,Snelson-Golden Middle School,Liberty County,31313,1-Regular school,2-No,31.867600,-81.584100,Middle,6th Grade,8th Grade,860,630,323,87,717,860,†,†,†,443,417,2,6,115,547,100,11,79,860,16.17
SOCIAL CIRCLE ELEMENTARY SCHOOL,Georgia,Social Circle Elementary School,Walton County,30025,1-Regular school,2-No,33.657963,-83.719604,Elementary,3rd Grade,5th Grade,423,221,104,33,254,423,†,†,†,215,208,0,5,20,89,295,0,14,423,14.84
SOCIAL CIRCLE HIGH SCHOOL,Georgia,Social Circle High School,Walton County,30025,1-Regular school,2-No,33.659255,-83.729559,High,9th Grade,12th Grade,579,215,76,44,259,†,579,†,†,312,267,0,7,24,119,410,0,19,579,14.12
SOCIAL CIRCLE MIDDLE SCHOOL,Georgia,Social Circle Middle School,Walton County,30025,1-Regular school,2-No,33.659255,-83.729559,Middle,6th Grade,8th Grade,448,222,98,26,248,448,†,†,†,235,213,0,4,21,99,303,0,21,448,14.13
SOCIAL CIRCLE PRIMARY SCHOOL,Georgia,Social Circle Primary School,Walton County,30025,1-Regular school,2-No,33.659699,-83.711412,Elementary,Prekindergarten,2nd Grade,492,271,108,32,303,260,†,94,138,253,239,1,2,29,87,346,0,27,492,14.69
SONORAVILLE ELEMENTARY,Georgia,Sonoraville Elementary,Gordon County,30701,1-Regular school,2-No,34.453012,-84.829631,Elementary,Prekindergarten,5th Grade,606,362,100,67,429,450,†,61,95,315,291,0,5,93,6,473,0,29,606,14.13
SONORAVILLE HIGH SCHOOL,Georgia,Sonoraville High School,Gordon County,30701,1-Regular school,2-No,34.449800,-84.828600,High,9th Grade,12th Grade,1130,620,209,108,728,†,1130,†,†,581,549,5,9,147,23,909,2,35,1130,16.72
SOPE CREEK ELEMENTARY SCHOOL,Georgia,Sope Creek Elementary School,Cobb County,30067,1-Regular school,2-No,33.935900,-84.453200,Elementary,Prekindergarten,5th Grade,1106,111,18,17,128,906,†,18,182,582,524,11,255,83,64,632,0,61,1106,15.13
SOUTH ATLANTA HIGH SCHOOL,GEORGIA,South Atlanta High School,Fulton County,30354,1-Regular school,2-No,33.671005,-84.361760,High,9th Grade,12th Grade,907,823,379,0,823,†,907,†,†,453,454,0,0,81,815,0,0,11,907,14.70
SOUTH COBB HIGH SCHOOL,Georgia,South Cobb High School,Cobb County,30106,1-Regular school,2-No,33.835300,-84.608900,High,9th Grade,12th Grade,2137,1440,447,291,1731,†,2137,†,†,1065,1072,4,21,728,1201,125,4,54,2137,16.46
SOUTH COLUMBIA ELEMENTARY SCHOOL,Georgia,South Columbia Elementary School,Columbia County,30907,1-Regular school,2-No,33.523700,-82.106000,Elementary,Prekindergarten,5th Grade,398,234,99,41,275,318,†,5,75,207,191,5,19,65,107,156,1,45,398,11.44
SOUTH COLUMBUS ELEMENTARY SCHOOL,Georgia,South Columbus Elementary School,Muscogee County,31903,1-Regular school,2-No,32.416600,-84.949600,Elementary,Prekindergarten,5th Grade,324,324,151,0,324,225,†,47,52,162,162,0,0,110,179,8,1,26,324,13.22
SOUTH DOUGLAS ELEMENTARY SCHOOL,Georgia,South Douglas Elementary School,Douglas County,30135,1-Regular school,2-No,33.616200,-84.846300,Elementary,Prekindergarten,5th Grade,554,233,64,36,269,452,†,0,102,289,265,3,5,48,121,324,0,53,554,17.15
SOUTH EFFINGHAM ELEMENTARY SCHOOL,Georgia,South Effingham Elementary School,Effingham County,31312,1-Regular school,2-No,32.210400,-81.279700,Elementary,Prekindergarten,5th Grade,920,236,53,81,317,744,†,71,105,491,429,2,43,132,131,564,2,46,920,14.31
SOUTH EFFINGHAM HIGH SCHOOL,Georgia,South Effingham High School,Effingham County,31312,1-Regular school,2-No,32.187900,-81.334000,High,9th Grade,12th Grade,1900,666,219,128,794,†,1900,†,†,999,901,1,35,235,289,1229,1,110,1900,16.13
SOUTH EFFINGHAM MIDDLE SCHOOL,Georgia,South Effingham Middle School,Effingham County,31312,1-Regular school,2-No,32.188800,-81.336800,Middle,6th Grade,8th Grade,1112,369,119,80,449,1112,†,†,†,571,541,2,28,138,141,740,1,62,1112,13.45
SOUTH FORSYTH HIGH SCHOOL,Georgia,South Forsyth High School,Forsyth County,30041,1-Regular school,2-No,34.148500,-84.171300,High,9th Grade,12th Grade,2508,209,29,56,265,†,2508,†,†,1264,1244,14,1099,187,65,1041,2,100,2508,19.34
SOUTH FORSYTH MIDDLE SCHOOL,Georgia,South Forsyth Middle School,Forsyth County,30041,1-Regular school,2-No,34.115894,-84.152968,Middle,6th Grade,8th Grade,1395,110,20,17,127,1395,†,†,†,692,703,8,744,68,34,497,1,43,1395,18.45
SOUTH GEORGIA REGIONAL ACHIEVEMENT CENTER- THE PHOENIX,GEORGIA,South Georgia Regional Achievement Center- The Phoenix,Dougherty County,31705,1-Regular school,2-No,31.568409,-84.103416,High,6th Grade,12th Grade,72,72,54,0,72,24,48,†,†,49,23,0,0,0,68,1,0,3,72,72.00
SOUTH GWINNETT HIGH SCHOOL,Georgia,South Gwinnett High School,Gwinnett County,30078,1-Regular school,2-No,33.853900,-84.007000,High,9th Grade,12th Grade,2588,1653,605,260,1913,†,2588,†,†,1303,1285,5,54,542,1818,88,4,77,2588,16.34
SOUTH HABERSHAM MIDDLE SCHOOL,Georgia,South Habersham Middle School,Habersham County,30531,1-Regular school,2-No,34.523200,-83.571700,Middle,6th Grade,8th Grade,438,313,94,43,356,438,†,†,†,230,208,0,13,221,12,176,0,16,438,10.71
SOUTH HALL MIDDLE SCHOOL,Georgia,South Hall Middle School,Hall County,30507,1-Regular school,2-No,34.222822,-83.859333,Middle,6th Grade,8th Grade,974,650,213,109,759,974,†,†,†,515,459,1,17,722,37,182,1,14,974,12.87
SOUTH HART ELEMENTARY SCHOOL,Georgia,South Hart Elementary School,Hart County,30643,1-Regular school,2-No,34.292621,-82.950036,Elementary,Prekindergarten,5th Grade,581,402,174,45,447,448,†,48,85,301,280,0,18,79,127,325,1,31,581,14.97
SOUTH JACKSON ELEMENTARY SCHOOL,Georgia,South Jackson Elementary School,Jackson County,30607,1-Regular school,2-No,34.067315,-83.476760,Elementary,Prekindergarten,5th Grade,701,448,195,54,502,529,†,71,101,391,310,1,5,128,63,471,0,33,701,11.45
SOUTH PAULDING HIGH SCHOOL,Georgia,South Paulding High School,Paulding County,30134,1-Regular school,2-No,33.785300,-84.832700,High,9th Grade,12th Grade,1905,779,265,153,932,†,1905,†,†,996,909,5,7,174,524,1115,2,78,1905,18.23
SOUTH PAULDING MIDDLE SCHOOL,Georgia,South Paulding Middle School,Paulding County,30157,1-Regular school,2-No,33.818600,-84.869700,Middle,6th Grade,8th Grade,509,266,90,47,313,509,†,†,†,258,251,0,2,70,111,304,0,22,509,13.39
SOUTH SALEM ELEMENTARY SCHOOL,Georgia,South Salem Elementary School,Newton County,30016,1-Regular school,2-No,33.564390,-83.937971,Elementary,Prekindergarten,5th Grade,848,820,280,0,820,646,†,78,124,421,427,2,8,121,546,122,2,47,848,15.39
SOUTH TATTNALL ELEMENTARY SCHOOL,GEORGIA,South Tattnall Elementary School,Tattnall County,30427,1-Regular school,2-No,31.943165,-81.937585,Elementary,Prekindergarten,5th Grade,825,703,175,0,703,598,†,86,141,415,410,0,1,175,173,430,1,45,825,11.92
SOUTH TATTNALL MIDDLE SCHOOL,Georgia,South Tattnall Middle School,Tattnall County,30427,1-Regular school,2-No,31.932600,-81.920200,Middle,6th Grade,8th Grade,380,298,79,0,298,380,†,†,†,193,187,0,2,66,102,193,1,16,380,12.67
SOUTHEAST BULLOCH HIGH SCHOOL,Georgia,Southeast Bulloch High School,Bulloch County,30415,1-Regular school,2-No,32.362707,-81.678769,High,9th Grade,12th Grade,1164,458,152,77,535,†,1142,22,†,600,564,1,17,57,157,896,4,32,1164,19.27
SOUTHEAST BULLOCH MIDDLE SCHOOL,Georgia,Southeast Bulloch Middle School,Bulloch County,30415,1-Regular school,2-No,32.361966,-81.680853,Middle,6th Grade,8th Grade,857,352,149,81,433,857,†,†,†,442,415,3,21,66,75,651,2,39,857,14.33
SOUTHEAST WHITFIELD COUNTY HIGH SCHOOL,Georgia,Southeast Whitfield County High School,Whitfield County,30721,1-Regular school,2-No,34.734100,-84.939300,High,9th Grade,12th Grade,1512,1106,263,168,1274,†,1512,†,†,751,761,6,5,1068,20,383,1,29,1512,17.01
SOUTHFIELD ELEMENTARY SCHOOL,GEORGIA,Southfield Elementary School,Bibb County,31206,1-Regular school,2-No,32.782305,-83.690255,Elementary,Prekindergarten,5th Grade,688,590,475,0,590,533,†,57,98,348,340,1,1,95,547,12,0,32,688,14.04
SOUTHSIDE ELEMENTARY SCHOOL,Georgia,Southside Elementary School,Grady County,39828,1-Regular school,2-No,30.871896,-84.204229,Elementary,Prekindergarten,5th Grade,512,489,174,0,489,401,†,43,68,266,246,0,3,156,214,125,0,14,512,11.96
SOUTHWEST DEKALB HIGH SCHOOL,Georgia,Southwest DeKalb High School,DeKalb County,30034,1-Regular school,2-No,33.702000,-84.224500,High,9th Grade,12th Grade,1207,917,401,0,917,†,1207,†,†,588,619,1,4,46,1134,2,1,19,1207,15.01
SOUTHWEST ELEMENTARY SCHOOL,Georgia,Southwest Elementary School,Chatham County,31419,1-Regular school,2-No,32.000200,-81.261600,Elementary,Prekindergarten,5th Grade,729,529,242,67,596,545,†,81,103,372,357,6,20,170,385,90,4,54,729,15.19
SOUTHWEST GEORGIA S.T.E.M. CHARTER ACADEMY,GEORGIA,Southwest Georgia S.T.E.M. Charter Academy,Randolph County,39886,1-Regular school,1-Yes,31.762848,-84.616644,Other,Prekindergarten,12th Grade,516,506,231,0,506,333,124,20,39,261,255,0,0,22,108,349,0,37,516,12.87
SOUTHWEST HIGH SCHOOL,Georgia,Southwest High School,Bibb County,31206,1-Regular school,2-No,32.806996,-83.673033,High,9th Grade,12th Grade,820,530,311,0,530,†,820,†,†,430,390,1,0,29,763,16,0,11,820,16.08
SOUTHWEST LAURENS ELEMENTARY,Georgia,Southwest Laurens Elementary,Laurens County,31075,1-Regular school,2-No,32.403600,-82.972500,Elementary,Prekindergarten,5th Grade,997,716,302,0,716,757,†,107,133,510,487,0,3,65,187,701,0,41,997,14.66
SOUTHWEST MIDDLE SCHOOL,Georgia,Southwest Middle School,Chatham County,31419,1-Regular school,2-No,31.998400,-81.263900,Middle,6th Grade,8th Grade,712,504,281,47,551,712,†,†,†,370,342,3,23,138,434,71,6,37,712,14.80
SPALDING DRIVE ELEMENTARY,Georgia,Spalding Drive Elementary,Fulton County,30328,1-Regular school,2-No,33.950700,-84.382500,Elementary,Prekindergarten,5th Grade,352,118,44,17,135,250,†,50,52,183,169,3,18,53,99,155,0,24,352,11.32
SPALDING HIGH SCHOOL,Georgia,Spalding High School,Spalding County,30224,1-Regular school,2-No,33.227700,-84.231400,High,9th Grade,12th Grade,1209,751,328,0,751,†,1209,†,†,630,579,1,10,125,526,496,3,48,1209,15.99
SPENCER HIGH SCHOOL,Georgia,Spencer High School,Muscogee County,31903,1-Regular school,2-No,32.433491,-84.938376,High,9th Grade,12th Grade,1004,887,411,0,887,†,1004,†,†,488,516,2,4,205,710,30,5,48,1004,17.93
SPIRIT CREEK MIDDLE SCHOOL,Georgia,Spirit Creek Middle School,Richmond County,30815,1-Regular school,2-No,33.345327,-82.077018,Middle,6th Grade,8th Grade,530,495,48,0,495,530,†,†,†,290,240,0,1,24,463,23,2,17,530,12.24
SPOUT SPRINGS ELEMENTARY SCHOOL,Georgia,Spout Springs Elementary School,Hall County,30542,1-Regular school,2-No,34.146000,-83.889200,Elementary,Prekindergarten,5th Grade,860,188,51,33,221,713,†,11,136,433,427,3,22,131,35,631,0,38,860,17.48
SPRAYBERRY HIGH SCHOOL,Georgia,Sprayberry High School,Cobb County,30066,1-Regular school,2-No,34.011500,-84.497400,High,9th Grade,12th Grade,1799,743,214,154,897,†,1799,†,†,951,848,7,114,475,524,570,3,106,1799,16.66
SPRING CREEK CHARTER ACADEMY,GEORGIA,Spring Creek Charter Academy,Decatur County,39817,1-Regular school,1-Yes,30.932125,-84.534296,Other,Kindergarten,10th Grade,440,316,127,46,362,350,46,†,44,220,220,1,1,29,104,289,1,15,440,12.57
SPRING HILL ELEMENTARY SCHOOL,Georgia,Spring Hill Elementary School,Fayette County,30215,1-Regular school,2-No,33.440300,-84.468200,Elementary,Prekindergarten,5th Grade,645,406,157,77,483,526,†,20,99,342,303,0,37,84,404,70,1,49,645,13.03
SPRING PLACE ELEMENTARY SCHOOL,Georgia,Spring Place Elementary School,Murray County,30705,1-Regular school,2-No,34.754277,-84.813581,Elementary,Prekindergarten,6th Grade,644,494,238,0,494,510,†,39,95,312,332,3,0,232,3,387,1,18,644,14.00
SPRINGDALE ELEMENTARY SCHOOL,Georgia,Springdale Elementary School,Bibb County,31210,1-Regular school,2-No,32.905000,-83.720000,Elementary,Prekindergarten,5th Grade,546,149,158,0,149,413,†,61,72,302,244,2,50,39,255,165,2,33,546,13.32
SPRINGDALE PARK ELEMENTARY SCHOOL,Georgia,Springdale Park Elementary School,DeKalb County,30306,1-Regular school,2-No,33.775384,-84.346747,Elementary,Kindergarten,5th Grade,427,85,51,6,91,346,†,†,81,210,217,1,19,54,75,234,2,42,427,11.83
SPRINGFIELD ELEMENTARY SCHOOL,Georgia,Springfield Elementary School,Effingham County,31329,1-Regular school,2-No,32.382300,-81.319800,Elementary,Prekindergarten,5th Grade,819,477,199,70,547,593,†,87,139,359,460,1,3,83,174,503,0,55,819,13.15
ST. GEORGE ELEMENTARY SCHOOL,Georgia,St. George Elementary School,Charlton County,31537,1-Regular school,2-No,30.525103,-82.038545,Elementary,Prekindergarten,6th Grade,202,111,38,44,155,145,†,23,34,104,98,0,0,5,1,186,0,10,202,12.63
ST. MARYS VIDEO AND COMMUNICATION TECHNOLOGY,Georgia,St. Marys Video and Communication Technology,Muscogee County,31907,1-Regular school,2-No,32.443367,-84.920050,Elementary,Kindergarten,5th Grade,418,418,258,0,418,352,†,†,66,201,217,2,2,26,361,4,0,23,418,18.17
ST. SIMONS ELEMENTARY SCHOOL,Georgia,St. Simons Elementary School,Glynn County,31522,1-Regular school,2-No,31.136300,-81.387400,Elementary,Prekindergarten,5th Grade,488,247,121,29,276,384,†,38,66,257,231,0,4,83,91,281,0,29,488,12.54
STALLINGS ISLAND MIDDLE SCHOOL,Georgia,Stallings Island Middle School,Columbia County,30907,1-Regular school,2-No,33.560100,-82.080200,Middle,6th Grade,8th Grade,689,153,46,31,184,689,†,†,†,346,343,1,129,48,81,393,1,36,689,14.91
STARK ELEMENTARY SCHOOL,Georgia,Stark Elementary School,Butts County,30233,1-Regular school,2-No,33.308091,-83.952890,Elementary,Prekindergarten,5th Grade,666,594,218,0,594,494,†,81,91,331,335,0,0,32,162,433,3,36,666,14.73
STARLING ELEMENTARY SCHOOL,Georgia,Starling Elementary School,Gwinnett County,30017,1-Regular school,2-No,33.902609,-83.965815,Elementary,Prekindergarten,5th Grade,1249,646,195,85,731,1037,†,40,172,654,595,5,134,241,616,179,3,71,1249,14.76
STARRS MILL HIGH SCHOOL,Georgia,Starrs Mill High School,Fayette County,30215,1-Regular school,2-No,33.342100,-84.517600,High,9th Grade,12th Grade,1361,176,37,24,200,†,1361,†,†,688,673,3,67,132,136,946,2,75,1361,15.36
STATE BRIDGE CROSSING ELEMENTARY SCHOOL,Georgia,State Bridge Crossing Elementary School,Fulton County,30022,1-Regular school,2-No,34.021600,-84.198200,Elementary,Prekindergarten,5th Grade,671,106,28,26,132,552,†,44,75,326,345,1,204,75,86,241,0,64,671,16.49
STATESBORO HIGH SCHOOL,Georgia,Statesboro High School,Bulloch County,30458,1-Regular school,2-No,32.442891,-81.762967,High,9th Grade,12th Grade,1773,1097,484,98,1195,†,1751,22,†,848,925,1,28,160,1031,487,1,65,1773,17.50
STATESBORO STEAM ACADEMY,Georgia,Statesboro STEAM Academy,Bulloch County,30458,1-Regular school,1-Yes,32.453693,-81.774143,High,5th Grade,12th Grade,203,56,3,74,130,113,90,†,†,109,94,1,1,6,80,104,0,11,203,11.53
STATHAM ELEMENTARY SCHOOL,Georgia,Statham Elementary School,Barrow County,30666,1-Regular school,2-No,33.964600,-83.591900,Elementary,Prekindergarten,5th Grade,817,459,137,99,558,603,†,81,133,443,374,0,30,168,137,413,0,69,817,14.09
STEPHENS COUNTY FIFTH GRADE ACADEMY,GEORGIA,Stephens County Fifth Grade Academy,Stephens County,30577,1-Regular school,2-No,34.547402,-83.298751,Middle,5th Grade,5th Grade,273,227,97,0,227,273,†,†,†,137,136,0,1,8,43,193,0,28,273,12.24
STEPHENS COUNTY HIGH SCHOOL,Georgia,Stephens County High School,Stephens County,30577,1-Regular school,2-No,34.553072,-83.291643,High,9th Grade,12th Grade,1125,640,309,89,729,†,1125,†,†,547,578,2,15,71,132,830,0,75,1125,13.72
STEPHENS COUNTY MIDDLE SCHOOL,Georgia,Stephens County Middle School,Stephens County,30577,1-Regular school,2-No,34.547402,-83.298751,Middle,6th Grade,8th Grade,845,583,271,0,583,845,†,†,†,429,416,1,12,50,103,609,0,70,845,13.56
STEPHENSON HIGH SCHOOL,Georgia,Stephenson High School,DeKalb County,30087,1-Regular school,2-No,33.774600,-84.124800,High,9th Grade,12th Grade,1312,837,384,125,962,†,1312,†,†,676,636,2,17,97,1158,11,4,23,1312,15.90
STEPHENSON MIDDLE SCHOOL,Georgia,Stephenson Middle School,DeKalb County,30087,1-Regular school,2-No,33.774200,-84.115800,Middle,6th Grade,8th Grade,840,680,332,0,680,840,†,†,†,415,425,1,10,88,711,5,2,23,840,15.00
STERLING ELEMENTARY SCHOOL,Georgia,Sterling Elementary School,Glynn County,31523,1-Regular school,2-No,31.265400,-81.562300,Elementary,Prekindergarten,5th Grade,730,536,249,45,581,578,†,65,87,353,377,2,9,142,172,350,1,54,730,13.39
STEVENS CREEK ELEMENTARY SCHOOL,Georgia,Stevens Creek Elementary School,Columbia County,30907,1-Regular school,2-No,33.550700,-82.079900,Elementary,Prekindergarten,5th Grade,815,158,61,22,180,698,†,2,115,432,383,1,128,43,76,506,0,61,815,15.35
STEWART COUNTY ELEMENTARY SCHOOL,Georgia,Stewart County Elementary School,Stewart County,31815,1-Regular school,2-No,32.052378,-84.752605,Elementary,Prekindergarten,5th Grade,157,157,86,0,157,116,†,19,22,72,85,1,0,0,147,3,0,6,157,8.13
STEWART COUNTY HIGH SCHOOL,Georgia,Stewart County High School,Stewart County,31815,1-Regular school,2-No,32.052341,-84.752592,High,9th Grade,12th Grade,111,97,60,0,97,†,111,†,†,58,53,1,0,0,101,7,0,2,111,8.22
STEWART COUNTY MIDDLE SCHOOL,Georgia,Stewart County Middle School,Stewart County,31815,1-Regular school,2-No,32.052378,-84.752605,Middle,6th Grade,8th Grade,96,96,46,0,96,96,†,†,†,54,42,1,0,1,90,1,0,3,96,9.23
STEWART MIDDLE SCHOOL,Georgia,Stewart Middle School,Douglas County,30134,1-Regular school,2-No,33.758100,-84.746700,Middle,6th Grade,8th Grade,542,393,252,33,426,542,†,†,†,298,244,0,4,85,410,11,3,29,542,15.66
STILL ELEMENTARY SCHOOL,Georgia,Still Elementary School,Cobb County,30127,1-Regular school,2-No,33.933100,-84.664000,Elementary,Prekindergarten,5th Grade,757,211,57,58,269,630,†,20,107,396,361,1,23,123,219,334,0,57,757,11.90
STILSON ELEMENTARY SCHOOL,Georgia,Stilson Elementary School,Bulloch County,30415,1-Regular school,2-No,32.323600,-81.547300,Elementary,Prekindergarten,5th Grade,453,251,83,36,287,343,†,44,66,220,233,1,1,27,20,381,0,23,453,12.83
STOCKBRIDGE ELEMENTARY SCHOOL,Georgia,Stockbridge Elementary School,Henry County,30281,1-Regular school,2-No,33.543000,-84.231300,Elementary,Prekindergarten,3rd Grade,490,404,238,31,435,351,†,18,121,268,222,3,18,139,284,23,0,23,490,14.76
STOCKBRIDGE HIGH SCHOOL,Georgia,Stockbridge High School,Henry County,30281,1-Regular school,2-No,33.564100,-84.202500,High,9th Grade,12th Grade,1506,967,461,126,1093,†,1506,†,†,799,707,4,41,291,1037,84,1,48,1506,18.48
STOCKBRIDGE MIDDLE SCHOOL,Georgia,Stockbridge Middle School,Henry County,30281,1-Regular school,2-No,33.558100,-84.221900,Middle,6th Grade,8th Grade,636,472,272,53,525,636,†,†,†,333,303,3,18,159,382,54,1,19,636,18.33
